AU,5p7ujcrUXASCNwRaWNHR1C
JP,77lmDcPPyY6kK907gdgC6i
IL,4w8niZpiMy6qz1mntFA5uM
HK,2VxeLyX666F8uXCJ0dZF8B
ID,13hvHEstJ4sNbzdroPrPI3
MY,13hvHEstJ4sNbzdroPrPI3
NZ,4ofwffwvvnbSkrMSCKQDaC
PH,5f9808hpiCpuNyqqdXmpF2
SG,13hvHEstJ4sNbzdroPrPI3
TW,2VxeLyX666F8uXCJ0dZF8B
TH,0JBAYpl1n0pKfVAbVP7p2C
VN,13hvHEstJ4sNbzdroPrPI3
AT,4UOXo3xWnxYdTf3sFyRaUG
BE,0E9ZjEAyAwOXZ7wJC0PD33
CZ,2VxeLyX666F8uXCJ0dZF8B
DK,1A6OTy97kk0mMdm78rHsm8
EE,70qZhu8T6VHpeugYFZCnVk
FI,2DZEeHq94eVl4b2pkDuu5G
FR,0QnEGWGECQUPuE3m8L6hdT
DE,6Yocr5JJOjupv71R5uhye5
GR,56hwvng962V4BzUvAuVtAC
HU,0E9ZjEAyAwOXZ7wJC0PD33
IS,2VxeLyX666F8uXCJ0dZF8B
IE,2VxeLyX666F8uXCJ0dZF8B
IT,7dV2UrZQ58Mn18u0V19S3Y
LV,0Dn40gxVCMo5TkgS8Ik18Q
LT,2VxeLyX666F8uXCJ0dZF8B
NL,442ctQ3OBBk8aMo3Ma3wRX
NO,25sgk305KZfyuqVBQIahim
PL,3kWcNl9IThew9vwO8UM3fD
PT,1ftBvRj542ol7LT1A0EtL7
RO,4w8niZpiMy6qz1mntFA5uM
SK,2VxeLyX666F8uXCJ0dZF8B
ES,4w8niZpiMy6qz1mntFA5uM
SE,25sgk305KZfyuqVBQIahim
CH,4w8niZpiMy6qz1mntFA5uM
TR,51agJccRxKI5dqGJFkTojo
GB,01IQ4aQgOf0Kkq3a273hmO
AR,4w8niZpiMy6qz1mntFA5uM
BO,116H0KvKr2Zl4RPuVBruDO
BR,2H1liABu20HXBOmbt5SQz1
CL,116H0KvKr2Zl4RPuVBruDO
CO,116H0KvKr2Zl4RPuVBruDO
CR,4w8niZpiMy6qz1mntFA5uM
DO,116H0KvKr2Zl4RPuVBruDO
EC,4w8niZpiMy6qz1mntFA5uM
SV,4w8niZpiMy6qz1mntFA5uM
GT,116H0KvKr2Zl4RPuVBruDO
HN,116H0KvKr2Zl4RPuVBruDO
MX,4w8niZpiMy6qz1mntFA5uM
NI,3ITvHA9zhZZdBJsOsAUegF
PA,116H0KvKr2Zl4RPuVBruDO
PY,116H0KvKr2Zl4RPuVBruDO
PE,4w8niZpiMy6qz1mntFA5uM
UY,4w8niZpiMy6qz1mntFA5uM
CA,7l3E7lcozEodtVsSTCkcaA
US,7l3E7lcozEodtVsSTCkcaA
